Timestamp (seconds),Distance (mm),Button Pressed
1739139137.483,0,False
1739139137.786,0,False
1739139138.088,0,False
1739139138.390,0,False
1739139138.692,0,False
1739139138.995,0,False
1739139139.297,0,False
1739139139.599,3252,False
1739139139.902,0,False
1739139140.204,0,False
1739139140.506,0,False
1739139140.809,0,False
1739139141.111,0,False
1739139141.413,0,False
1739139141.716,0,False
1739139142.018,0,False
1739139142.321,0,False
1739139142.623,0,False
1739139142.926,0,False
1739139143.228,0,False
1739139143.530,0,False
1739139143.833,0,False
1739139144.437,0,False
1739139144.739,0,False
1739139145.042,0,False
1739139145.344,0,False
1739139145.647,0,False
1739139145.949,0,False
1739139146.252,0,False
1739139146.554,0,True
1739139146.856,0,True
1739139147.159,0,True
1739139147.462,0,True
1739139147.764,0,True
1739139148.067,0,False
1739139148.369,0,False
1739139148.672,0,False
1739139148.974,0,False
1739139149.277,0,False
1739139149.579,0,False
1739139149.882,0,False
1739139150.184,0,False
1739139150.486,0,False
1739139150.789,0,False
1739139151.091,0,False
1739139151.394,0,False
1739139151.696,0,False
1739139151.999,0,False
1739139152.305,0,False
1739139152.607,0,False
1739139152.910,0,False
1739139153.212,0,False
1739139153.515,0,False
1739139153.817,0,False
1739139154.119,0,False
1739139154.422,0,False
1739139154.724,0,False
1739139155.027,0,False
1739139155.329,0,False
1739139155.631,0,False
1739139155.934,0,False
1739139156.236,0,False
1739139156.538,0,False
1739139156.841,0,False
1739139157.143,0,False
1739139157.445,0,False
1739139157.748,0,False
1739139158.050,0,False
1739139158.353,0,False
1739139158.655,0,False
1739139158.957,0,False
1739139159.259,0,False
1739139159.562,0,False
1739139159.864,0,False
1739139160.166,0,False
1739139160.468,0,False
1739139160.771,0,False
1739139161.073,0,False
1739139161.375,0,False
1739139161.677,0,False
1739139161.980,0,False
1739139162.282,0,False
1739139162.584,0,False
1739139162.887,0,False
1739139163.189,0,False
1739139163.491,0,False
1739139163.794,0,False
1739139164.096,0,False
1739139164.398,0,False
1739139164.700,0,False
1739139165.002,0,False
1739139165.304,0,False
1739139165.606,0,False
1739139165.908,0,False
1739139166.210,0,False
1739139166.512,0,False
1739139166.815,0,False
1739139167.117,0,False
1739139167.419,0,False
1739139167.721,0,False
1739139168.023,0,False
1739139168.325,0,False
1739139168.627,0,False
1739139168.930,0,False
1739139169.232,0,False
1739139169.534,0,False
1739139169.836,0,False
1739139170.138,0,False
1739139170.440,0,False
1739139170.742,0,False
1739139171.044,0,False
1739139171.346,0,False
1739139171.648,0,False
1739139171.950,0,False
1739139172.252,0,False
1739139172.555,0,False
1739139172.857,0,False
1739139173.159,0,False
1739139173.461,0,False
1739139173.763,0,False
1739139174.065,0,False
1739139174.367,0,False
1739139174.670,0,False
1739139174.972,0,False
1739139175.274,0,False
1739139175.576,0,False
1739139175.878,0,False
1739139176.180,0,False
1739139176.482,0,False
1739139176.784,0,False
1739139177.086,0,False
1739139177.388,0,False
1739139177.690,0,False
1739139177.992,0,False
1739139178.295,0,False
1739139178.597,0,False
1739139178.899,0,False
1739139179.201,0,False
1739139179.503,0,False
1739139179.805,0,False
1739139180.108,0,False
1739139180.410,0,False
1739139180.712,0,False
1739139181.014,0,False
1739139181.316,0,False
1739139181.618,0,False
1739139181.920,0,False
1739139182.222,0,False
1739139182.524,0,False
1739139182.826,0,False
1739139183.128,0,False
1739139183.431,0,False
1739139183.733,0,False
1739139184.035,0,False
1739139184.337,0,False
1739139184.639,0,False
1739139184.941,0,False
1739139185.243,0,False
1739139185.546,0,False
1739139185.848,0,False
1739139186.150,0,False
1739139186.452,0,False
1739139186.754,0,False
1739139187.056,0,False
1739139187.358,0,False
1739139187.660,0,False
